Yahoo_Ticker,Year,Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Return,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
MSFT,2024,2024-12-31,MSFT US Equity,5.62,3.03,5.12,Microsoft,0.1292732478503933,0.0,0.0,0.0,-0.7778477257183397,0
GOOGL,2025,2025-12-31,GOOGL US Equity,5.21,2.56,4.26,Alphabet (Google),0.6599356766638873,0.0,0.0,0.0,0.8328688384570244,0
9984.T,2025,2025-12-31,9984 JP Equity,6.61,1.99,3.92,SoftBank,0.9236828689926536,0.0,0.0,0.0,0.9789905564988488,0
AMD,2025,2025-12-31,AMD US Equity,7.17,5.58,6.85,AMD,0.7729944700627904,0.0,0.0,0.0,-5.28050735935318,0
TSLA,2025,2025-12-31,TSLA US Equity,4.62,5.05,5.01,Tesla,0.1136093633589105,-0.03347280334728031,0.0327198364008181,-0.015717092337917515,-0.8182952239242616,0
TSEM,2025,2025-12-31,TSEM IT Equity,2.98,3.26,3.99,Tower Semiconductor,1.2795574062338717,0.0,0.0,0.0,0.860509604500713,0
MPWR,2025,2025-12-31,MPWR US Equity,4.95,2.49,4.49,Monolithic Power Systems,0.5445046364359223,0.0,0.0,0.0,-10.808847901502977,0
LITE,2025,2025-12-31,LITE US Equity,1.0,3.98,3.73,Lumentum,3.3905897526731055,0.0,0.0,0.0,4.637003346269475,0
TSM,2025,2025-12-31,TSM US Equity,4.57,6.31,5.48,TSMC,0.5594950633214599,0.0,0.0,0.0,-0.39567909306910376,0
000660.KS,2025,2025-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,2.7826975361804887,0.0,0.0,0.0,10.860397529922045,0
META,2025,2025-12-31,META US Equity,7.31,2.03,4.23,Meta Platforms,0.1309310558513881,0.0,0.0,0.0,-0.8017665027562584,0
AVGO,2025,2025-12-31,AVGO US Equity,4.96,2.57,4.82,Broadcom,0.5063297099396797,0.0,0.0,0.0,-0.5417536214278502,0
LRCX,2025,2025-12-31,LRCX US Equity,5.21,2.68,4.96,Lam Research,1.3916329901584152,0.009689922480620172,-0.10367892976588633,-0.023622047244094557,-21.331350217911066,0
NVDA,2025,2025-12-31,NVDA US Equity,7.13,6.54,6.81,NVIDIA,0.3891653083740121,0.0,0.0,0.0,-0.7727492415123922,0
CLS,2025,2025-12-31,CLS CN Equity,5.58,6.22,6.12,Celestica,2.202708294449322,0.0,0.0,0.0,0.02340999608816774,0
